period,period_type,period_start,period_end,source,category_id,tag_count,total_reviews,rate_pct,adequate_volume,is_current_partial,in_recent_window,scope,rolling_baseline_rate_pct,flagged_spike,flagged_decline,verdict
2019-08,month,2019-08,2019-08,google_play,sleep_accuracy,4,30,13.333,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,sleep_alarm_ui,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,sleep_satisfaction,3,30,10.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,strap_clasp_durability,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,support_resolution_quality,1,30,3.333,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,support_responsiveness,6,30,20.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,support_satisfaction,2,30,6.667,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,third_party_integration,0,30,0.0,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,update_failures,4,30,13.333,True,False,False,google_play,,False,False,
2019-08,month,2019-08,2019-08,google_play,upsell_pressure,0,30,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,ai_coach,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,app_stability,2,35,5.714,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,customer_support,9,35,25.714,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,data_accuracy,2,35,5.714,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,feature_requests,2,35,5.714,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,hardware_wearability,5,35,14.286,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,health_signal_reliability,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,localization,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,platform_parity,19,35,54.286,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,pricing_billing,10,35,28.571,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,sleep_tracking,3,35,8.571,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,sync_connectivity,20,35,57.143,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,ui_ux,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,activity_detection,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,ai_autonomy,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,ai_only_support_channel,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,ai_positive_reception,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,ai_reliability_bugs,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,android_feature_gaps,11,35,31.429,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,android_specific_bugs,8,35,22.857,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,battery_life,1,35,2.857,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,billing_disputes,2,35,5.714,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,build_quality_perception,1,35,2.857,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,cardiac_detection_trust,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,comfort_fit,2,35,5.714,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,crashes_freezes,1,35,2.857,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,data_sync_delays,4,35,11.429,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,device_rendering_bugs,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,ecg_bp_feature_reliability,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,english_jargon_complexity,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,feature_ui_friction,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,metric_accuracy,2,35,5.714,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,missing_activity_types,1,35,2.857,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,missing_language_support,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,missing_metrics,1,35,2.857,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,notification_community_issues,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,onboarding_pairing,9,35,25.714,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,ongoing_disconnects,11,35,31.429,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,personalization_use_case_fit,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,plan_trial_structure,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,price_value_perception,10,35,28.571,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,redesign_regression,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,sleep_accuracy,3,35,8.571,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,sleep_alarm_ui,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,sleep_satisfaction,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,strap_clasp_durability,1,35,2.857,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,support_resolution_quality,2,35,5.714,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,support_responsiveness,7,35,20.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,support_satisfaction,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,third_party_integration,0,35,0.0,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,update_failures,1,35,2.857,True,False,False,google_play,,False,False,
2019-09,month,2019-09,2019-09,google_play,upsell_pressure,0,35,0.0,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,ai_coach,0,47,0.0,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,app_stability,6,47,12.766,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,customer_support,5,47,10.638,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,data_accuracy,5,47,10.638,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,feature_requests,1,47,2.128,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,hardware_wearability,3,47,6.383,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,health_signal_reliability,0,47,0.0,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,localization,0,47,0.0,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,platform_parity,19,47,40.426,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,pricing_billing,7,47,14.894,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,sleep_tracking,2,47,4.255,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,sync_connectivity,23,47,48.936,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,ui_ux,1,47,2.128,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,activity_detection,0,47,0.0,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,ai_autonomy,0,47,0.0,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,ai_only_support_channel,0,47,0.0,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,ai_positive_reception,0,47,0.0,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,ai_reliability_bugs,0,47,0.0,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,android_feature_gaps,9,47,19.149,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,android_specific_bugs,10,47,21.277,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,battery_life,1,47,2.128,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,billing_disputes,2,47,4.255,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,build_quality_perception,1,47,2.128,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,cardiac_detection_trust,0,47,0.0,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,comfort_fit,1,47,2.128,True,False,False,google_play,,False,False,
2019-10,month,2019-10,2019-10,google_play,crashes_freezes,5,47,10.638,True,False,False,google_play,,False,False,
